idRule,agent,module,tier,confidence,rationale_text
5659,Asbestos,aMAH Material Handling aJSM,EST,high,"Your answers indicate: “Poor (where release of fibres is likely)” for “In what condition was the asbestos?”; and “No” for “In the last working week, did you wear respiratory protection when you loaded/unloaded asbestos-containing products?”. You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen."
5971,Styrene,aMAC Machining Parts aJSM,EST,medium,"Your answers indicate: “Yes” for “Did you mould styrene or polystyrene?”; and “No” for “In the last working week, was there a ventilation system operating on the machines that you used to mould or machine plastic or synthetic resin parts (local exhaust ventilation or on-tool extraction)?”. You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen."
5975,Styrene,aMAC Machining Parts aJSM,EST,medium,"Your answers indicate: “Acrylonitrile butadiene styrene (ABS)” for “What types of plastics or synthetic resins did you mould?”; and “No” for “In the last working week, was there a ventilation system operating on the machines that you used to mould or machine plastic or synthetic resin parts (local exhaust ventilation or on-tool extraction)?”. You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen."
6094,Lead,aPAI Painting aJSM,EST,high,"Your answers indicate: “Red lead” for “In the last working week, did you use chromate primers or red lead?”; and “Don't know” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when applying primers or undercoats with a spray/gun?”; and “Don't know” for “In the last working week, did you spray the primer or undercoat in a spray booth?”. You may have been exposed to a metal used in some manufacturing, a recognised cause of serious effects on the nervous system, kidneys and reproductive health."
6119,Wood Dust,aSAN Sanding aJSM,EST,high,"Your answers indicate: “Wood” for “In the last working week, did you sand any of the following items?”; and “A power sander or polisher” for “In the last working week, which of the following did you use to sand or polish the items?”; and “No” for “Was there a ventilation system that removed dust or fume from where you worked in the last working week (local exhaust ventilation or on-tool extraction)?”; and “No” for “In the last working week, did you use respiratory protection while sanding or polishing items?”. You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods."
6120,Wood Dust,aSAN Sanding aJSM,EST,high,"Your answers indicate: “Wood” for “In the last working week, did you sand any of the following items?”; and “A power sander or polisher” for “In the last working week, which of the following did you use to sand or polish the items?”; and “Don't know” for “Was there a ventilation system that removed dust or fume from where you worked in the last working week (local exhaust ventilation or on-tool extraction)?”; and “Don't know” for “In the last working week, did you use respiratory protection while sanding or polishing items?”. You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods."
6121,Wood Dust,aSAN Sanding aJSM,EST,high,"Your answers indicate: “Wood” for “In the last working week, did you sand any of the following items?”; and “A power sander or polisher” for “In the last working week, which of the following did you use to sand or polish the items?”; and “No” for “Was there a ventilation system that removed dust or fume from where you worked in the last working week (local exhaust ventilation or on-tool extraction)?”; and “Don't know” for “In the last working week, did you use respiratory protection while sanding or polishing items?”. You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods."
6370,p-xylene,aPAI Painting aJSM,UNC,high,"Your answers indicate: “Oil or solvent-based” for “In the last working week, did you use oil/solvent-based or water-based/non-toxic primer or undercoat?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when applying primers or undercoats with a spray/gun?”; and “No” for “In the last working week, did you spray the primer or undercoat in a spray booth?”. You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing."
6376,Toluene,aPAI Painting aJSM,EST,high,"Your answers indicate: “Oil or solvent-based” for “In the last working week, did you use oil/solvent-based or water-based/non-toxic primer or undercoat?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when applying primers or undercoats with a spray/gun?”; and “No” for “In the last working week, did you spray the primer or undercoat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm."
6379,n-hexane,aPAI Painting aJSM,EST,high,"Your answers indicate: “Oil or solvent-based” for “In the last working week, did you use oil/solvent-based or water-based/non-toxic primer or undercoat?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when applying primers or undercoats with a spray/gun?”; and “No” for “In the last working week, did you spray the primer or undercoat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure."
6392,p-xylene,aPAI Painting aJSM,UNC,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “No” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing."
6401,Toluene,aPAI Painting aJSM,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “No” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm."
6405,n-hexane,aPAI Painting aJSM,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “No” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure."
6406,n-hexane,aPAI Painting aJSM,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “Don't know” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure."
6407,n-hexane,aPAI Painting aJSM,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “Don't know” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “No” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure."
6408,n-hexane,aPAI Painting aJSM,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you spray/powder coat solvent or oil-based paints?”; and “Don't know” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when painting or applying coats?”; and “Don't know” for “In the last working week, did you spray/powder coat in a spray booth?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure."
6543,Trichloroethylene,aDEG Degreasing,EST,high,"Your answers indicate: “Yes” for “Did you use trichloroethylene (Trike) to spray parts?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
6544,Trichloroethylene,aDEG Degreasing,EST,high,"Your answers indicate: “Trichloroethylene (Trike)” for “What chemicals did you use to clean by hand?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
6550,Tetrachloroethylene (PERC),aDEG Degreasing,EST,medium,"Your answers indicate: “Perchloroethylene or Tetrachloroethylene (PERC)” for “What chemicals did you use to clean by hand?”. You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen."
6722,Chromium VI,aPAI Painting aJSM,EST,high,"Your answers indicate: “Zinc chromate or other chromate primers” for “In the last working week, did you use chromate primers or red lead?”; and “No” for “In the last working week, did you use a cartridge filter respirator, a powered air-purifying respirator (PAPR) or an air-supplied respirator when applying primers or undercoats with a spray/gun?”; and “No” for “In the last working week, did you spray the primer or undercoat in a spray booth?”. You may have been exposed to a form of chromium used in some manufacturing such as plating or welding, classified as a known human carcinogen."
7297,Isocyanates,FOUN_Foundry,BIO,high,"Your answers indicate: “Hot or warm box” for “What processes did you use to set or cure the moulds or cores in the last working week?”. You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen."
7302,Isocyanates,FOUN_Foundry,BIO,high,"Your answers indicate: “Thermosetting (hot box or warm box or shell moulding)” for “What processes did you use in the casting station?”; and “No” for “Was this casting station inside a ventilated booth?”. You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen."
7345,Other PAHs,FOUN_Foundry,EST,high,"Your answers indicate: “Greensand moulds” for “What materials did you use to make the moulds?”; and “No” for “Was this casting station inside a ventilated booth?”. You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens."
7346,Other PAHs,FOUN_Foundry,EST,high,"Your answers indicate: “Greensand moulds” for “What materials did you use to make the moulds?”; and “Don't know” for “Was this casting station inside a ventilated booth?”. You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens."
7347,Other PAHs,FOUN_Foundry,EST,high,"Your answers indicate: “Sand with resin binders” for “What materials did you use to make the moulds?”; and “No” for “Was this casting station inside a ventilated booth?”. You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens."
7348,Other PAHs,FOUN_Foundry,EST,high,"Your answers indicate: “Sand with resin binders” for “What materials did you use to make the moulds?”; and “Don't know” for “Was this casting station inside a ventilated booth?”. You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens."
7381,Silica,FOUN_Foundry,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you apply silica parting powder to the moulds or cores?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
7382,Silica,FOUN_Foundry,EST,high,"Your answers indicate: “Manual shakeout” for “Was the shakeout done manually or done using an automated system?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
7384,Silica,FOUN_Foundry,EST,high,"Your answers indicate: “Sand” for “What did you blast with?”; and “No” for “Was the blasting done in an enclosed area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
7385,Silica,FOUN_Foundry,EST,high,"Your answers indicate: “Sand” for “What did you blast with?”; and “Don't know” for “Was the blasting done in an enclosed area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
7386,Silica,FOUN_Foundry,EST,high,"Your answers indicate: “Silica sand bound with clay” for “What materials did you use to make the moulds?”; and “Pneumatic tools” for “How did you clean the excess metal from the castings?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
7457,Formaldehyde,FOUN_Foundry,EST,high,"Your answers indicate: “Thermosetting (hot box, warm box or shell moulding)” for “How did you set or cure the sand with resin binder moulds?”. You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen."
7820,Cadmium,"IMAR_Industrial Manufacturing, Assembly and repair",EST,high,"Your answers indicate: “Nickel cadmium” for “What types of batteries were manufactured, assembled, processed or repaired?”. You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen."
7821,Nickel,"IMAR_Industrial Manufacturing, Assembly and repair",EST,high,"Your answers indicate: “Nickel cadmium” for “What types of batteries were manufactured, assembled, processed or repaired?”. You may have been exposed to a metal used in some manufacturing such as plating or welding, with some compounds classified as known human carcinogens."
8077,Formaldehyde,aSTE Sterilising aJSM,EST,high,"Your answers indicate: “In a solution” for “Which sterilisation method did you use?”; and “Formaldehyde or formalin” for “Which of the following chemicals did you use?”. You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen."
8715,Formaldehyde,FOUN_Foundry,EST,high,"Your answers indicate: “Hot or warm box” for “What processes did you use to set or cure the moulds or cores in the last working week?”. You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen."
8749,Trichloroethylene,aDEG Degreasing,EST,high,"Your answers indicate: “Yes” for “Did you use trichloroethylene (Trike) in the dip tank?”; and “No” for “Was the dip tank kept covered when not in use?”; and “No” for “Was there a ventilation system on the dip tank?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
8786,Trichloroethylene,aDEG Degreasing,EST,high,"Your answers indicate: “Yes” for “Did you use trichloroethylene (Trike) in the vapour degreaser?”; and “No” for “Was the vapour degreaser covered when not in use?”; and “No” for “Was there a ventilation system on the vapour degreaser?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
8899,Silica,FARM_Farmer,EST,high,"Your answers indicate: “No” for “In the last working week, did you use an enclosed cab when you ploughed, harrowed, or otherwise disturbed soil?”; and “Yes” for “Was there sand dust where you ploughed, harrowed, or disturbed soil in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
8900,Silica,FARM_Farmer,EST,high,"Your answers indicate: “Don't know” for “In the last working week, did you use an enclosed cab when you ploughed, harrowed, or otherwise disturbed soil?”; and “Yes” for “Was there sand dust where you ploughed, harrowed, or disturbed soil in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
8967,Diesel Exhaust,ROAD_RoadConstruction,EST,high,"Your answers indicate: “Road paving and/or sealing ” for “In the last working week, which of the following activities did you perform?”. You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen."
8976,Silica,ROAD_RoadConstruction,EST,high,"Your answers indicate: “Road sweeping” for “In the last working week, which of the following activities did you perform?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
8977,Silica,ROAD_RoadConstruction,EST,high,"Your answers indicate: “Asphalt milling, or recycling of asphalt” for “In the last working week, which of the following activities did you perform?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9076,Cadmium,MFAC_Metal Finishing & Coating,EST,high,"Your answers indicate: “Cadmium” for “What metals did you use for plating?”. You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen."
9256,Other PAHs,aBBU Back Burning aJSM,EST,high,"Your answers indicate: “No” for “Did you wear an air-supplied respirator or SCBA (self-contained breathing apparatus) when managing fires in the last working week?”. You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens."
9320,Leather dust,SHOE_Shoes and leather goods,EST,medium,"Your answers indicate: “Yes” for “In the last working week, did you rough, scour, finish or cut the leather?”; and “Don't know” for “How was the area where you worked ventilated?”. You may have been exposed to dust from leather processing, linked to an increased risk of nasal cancer in some studies."
9328,Carbon Monoxide,FIRE_Firefighter,ACUTE,high,"Your answers indicate: “No” for “In the last working week, did you wear an air-supplied breathing apparatus or self-contained breathing apparatus (SCBA) during frontline firefighting?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
9330,Carbon Monoxide,FIRE_Firefighter,ACUTE,high,"Your answers indicate: “No” for “In the last working week, did you wear an air-supplied breathing apparatus or self-contained breathing apparatus (SCBA) during overhaul or clean up?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
9332,Carbon Monoxide,FIRE_Firefighter,ACUTE,high,"Your answers indicate: “No” for “In the last working week, did you wear an air-supplied breathing apparatus or self-contained breathing apparatus (SCBA) when doing preventative burning or controlled burning?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
9338,Benzene,FIRE_Firefighter,EST,high,"Your answers indicate: “No” for “In the last working week, did you wear an air-supplied breathing apparatus or self-contained breathing apparatus (SCBA) during overhaul or clean up?”. You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen."
9340,Benzene,FIRE_Firefighter,EST,high,"Your answers indicate: “No” for “In the last working week, did you wear an air-supplied breathing apparatus or self-contained breathing apparatus (SCBA) when doing preventative burning or controlled burning?”. You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen."
9577,Carbon Monoxide,aWEL Welding aJSM,ACUTE,high,"Your answers indicate: “Yes” for “In the last working week, did you use carbon dioxide or argon as a shielding gas?”; and “Yes” for “In the last working week, did you mostly weld in confined spaces?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
9581,Carbon Monoxide,aWEL Welding aJSM,ACUTE,high,"Your answers indicate: “Yes” for “In the last working week, did you weld metal surfaces that were painted?”; and “Yes” for “In the last working week, did you mostly weld in confined spaces?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
9677,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Bricks” for “What types of ceramic or glass products are made where you work?”; and “None of these” for “What types of measures were used to reduce the amount of dust in your work area in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9678,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Tiles” for “What types of ceramic or glass products are made where you work?”; and “None of these” for “What types of measures were used to reduce the amount of dust in your work area in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9679,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Clay pipes” for “What types of ceramic or glass products are made where you work?”; and “None of these” for “What types of measures were used to reduce the amount of dust in your work area in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9680,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Sanitary ware” for “What types of ceramic or glass products are made where you work?”; and “None of these” for “What types of measures were used to reduce the amount of dust in your work area in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9681,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Pottery” for “What types of ceramic or glass products are made where you work?”; and “None of these” for “What types of measures were used to reduce the amount of dust in your work area in the last working week?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9694,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Bricks” for “What types of ceramic or glass products are made where you work?”; and “Power tools” for “In the last working week, did you use hand or power tools for fettling?”; and “None of these” for “In the last working week, what type of measures were used to reduce the amount of dust in your work area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9695,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Tiles” for “What types of ceramic or glass products are made where you work?”; and “Power tools” for “In the last working week, did you use hand or power tools for fettling?”; and “None of these” for “In the last working week, what type of measures were used to reduce the amount of dust in your work area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9696,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Clay pipes” for “What types of ceramic or glass products are made where you work?”; and “Power tools” for “In the last working week, did you use hand or power tools for fettling?”; and “None of these” for “In the last working week, what type of measures were used to reduce the amount of dust in your work area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9697,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Sanitary ware” for “What types of ceramic or glass products are made where you work?”; and “Power tools” for “In the last working week, did you use hand or power tools for fettling?”; and “None of these” for “In the last working week, what type of measures were used to reduce the amount of dust in your work area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9698,Silica,CERA_Ceramics Glass Prod,EST,high,"Your answers indicate: “Pottery” for “What types of ceramic or glass products are made where you work?”; and “Power tools” for “In the last working week, did you use hand or power tools for fettling?”; and “None of these” for “In the last working week, what type of measures were used to reduce the amount of dust in your work area?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
9732,Cobalt,CERA_Ceramics Glass Prod,EST,medium,"Your answers indicate: “Yes” for “In the last working week, did you handle or come in contact with pigments that contained cobalt?”. You may have been exposed to a metal used in some manufacturing such as hard-metal tooling or batteries, linked to lung disease and classified as a possible human carcinogen."
9801,Toluene,MFAC_Metal Finishing & Coating,EST,high,"Your answers indicate: “By conventional spraying” for “How did you apply the organic coating?”; and “Solvent-based paint (e.g Petroleum distillates)” for “What types of organic coatings did you apply?”. You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm."
9951,Silica,CONS_Construction Trades,EST,high,"Your answers indicate: “Yes” for “In the last working week, did you mix concrete or cement?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10386,Diesel Exhaust,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “In the passageways used to transport the ore to the surface” for “In the last working week, where did you work?”. You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen."
10398,Ionizing radiation,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the mine face” for “In the last working week, where did you work?”; and “Uranium” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen."
10399,Ionizing radiation,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “In the passageways used to transport the ore to the surface” for “In the last working week, where did you work?”; and “Uranium” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen."
10400,Ionizing radiation,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the shaft” for “In the last working week, where did you work?”; and “Uranium” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen."
10475,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the mine face” for “In the last working week, where did you work?”; and “Clay, gravel or any stone (e.g. granite)” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10476,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “In the passageways used to transport the ore to the surface” for “In the last working week, where did you work?”; and “Clay, gravel or any stone (e.g. granite)” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10478,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the mine face” for “In the last working week, where did you work?”; and “Coal” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10479,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the shaft” for “In the last working week, where did you work?”; and “Clay, gravel or any stone (e.g. granite)” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10480,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “In the passageways used to transport the ore to the surface” for “In the last working week, where did you work?”; and “Coal” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
10481,Silica,MINE_Miners/Quarrymen,EST,high,"Your answers indicate: “At the shaft” for “In the last working week, where did you work?”; and “Coal” for “What was mined or quarried where you worked?”; and “Below/underground” for “In the last working week, what type of mine or quarry did you work in?”. You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis."
